Exam Schedule
Day 1 Slot 1,"BSE615, MSO201, ESO202, ME762, CE352, BSE322, CHE381, MTH101, PHY660, "
Day 1 Slot 2,"CE630, CHE684, MBA633, EE492, PHY590, EE649, ENG750, MTH393, EE698D, PSY776, DES698, CHE699, NT652, CHM222, EEM604, ECO735, CHM422, EE699, CS797, CS697, CS747, MTH638, MTH513, ME471, CHE799, MSE617, MSE699., CHM799, MTH598, ME353, AE612, AE708, PSE605, IME699, AE411, BSE682, MTH306, PHY461, PHY699, PHY502, ES653, CE673, IME799, EEM699, MTH652, PHI752, SOC799, CE322, ME100, MME799, PSE699, DES699, NT699, BSE499, EE321, EE611, MSE202, CS396, CS499, CHM342, PHY422, "
Day 1 Slot 3,"MTH424, MBA666, AE673, LIF101, MTH205, ECO342, CHM202, MSE621, CE672, MBA607, ME649, EE668, PHY693, EE799, DES623, CHE602, CE332, "
Day 1 Slot 4,"PHY566, AE481, IME700, AE699, "
Day 1 Slot 5,"ART406, SOC479, PHI455, PSY454, PSY458, ENG436, MTH511, ME689, ENG122, MBA617, CS634, AE660, CHM481, ME799, PHY210, MS603, MTH759, BSE602, CHE498, CS498, ECO332, CE442, ME751, MTH404, CE262, AE251, PSY151, CHE261, EE600, "

Day 2 Slot 1,"DES799, CHM101, EE640, NT799, PHY101, CHE802, MSE690, CE699, PSE604, BSE671, MTH632, ECO756, CE612, PHY500, PHY663, SOC752, ECO799, ES799, ENG716, PSY798, MTH308, PHY307, MBA635, EE627, AE341, CHE221, "
Day 2 Slot 2,"CE628, ME752, PHY102, MSE304, CHE463, MTH599, ECO757, PHY473, EE210, ECO261, BSE223, CS422, EE626, EE666, CHM344, CHM699, MBA677, BSE399, "
Day 2 Slot 3,"ECO221, CS202, ME682, BSE653, PHY618, "
Day 2 Slot 4,"PHI448, ART411, SOC473, ENG433, PSY451, PHI450, MBA628, PSO201, ME623, CHE211, CHM443, ME770, ME231, MTH309, CHM612, ME665, CHM341, MTH664, BSE614, PHI774, CE492, CE222, BSE222, PHY692, CE242, MTH304, AE678, MBA652, EE635, EEM615, ME728, EE698B, AE625, PHY558, CE622, "
Day 2 Slot 5,"NT661, NT631, ESC101, CS799, MSE616, PSE606, BSE799, IME797, EE642, MTH751, PSE799, ES649, ENG733, PSY799, SOC721, PHY680, "

Day 3 Slot 1,"ECO506, CS315, ME351, CE372, AE351, MTH641, MTH721, BSE421, EE311, MSE604, BSE321, ME627, ME639, EE648, MTH516, ME663, CHM392, CHM662, "
Day 3 Slot 2,"CHM626, MBA616, MTH421, CHM242, PHY412, AE621, CS746, CHE652, MTH102, MTH628, "
Day 3 Slot 3,"ECO501, SOC481, ART401, MBA653, ESC201, MTH416, AE675, IME625, AE690, CHE621, CE462, ME698, CHM800, PHY524, CS635, EE608, "
Day 3 Slot 4,"ME774, MSE449, BSE699, BSE612, CHM492, MTH676, MTH653, CHE361, MSE699, EEM608B, BSE341, IME637, BSE702, MS699, ES648, ENG712, ENG799, PHI799, SOC745, PSY794, PSY787, CHE362, EE643, "
Day 3 Slot 5,

Day 4 Slot 1,"COM200, MTH524, AE462, EEM613, ME613, PHY399, MBA665, CHE699., ECO541, NT651, CS640, CHE398, CHE453, AE361, "
Day 4 Slot 2,"MBA640, SOC171, IME611, EE671, MBA684, CS679, ART105, CHE611, DES633, AE698, CHM695, CHM645, PHI141, EE629, PHY695, MSE398, ME622, MTH392, ME634, PHY644, ECO399, CE635, PHI751, ECO101, PHY462, AE604, CE674, "
Day 4 Slot 3,"MTH693, MTH394, EE665, MSE691, CHE676, MTH311, MTH799, SOC750, CS365, MSE315, CE272, AE211, ECO753, EE681, ME642, "
Day 4 Slot 4,"CE491, CS656, "
Day 4 Slot 5,"MSE421, "

Day 5 Slot 1,"ENG439, NT614, ESO201, DES606, CS251, BSE616, ME630, MTH418, EE250, ECO543, ECO311, CHE622, ES647, EE622, CHM631, EEM609, CS699., PHY226B, MS698, MSE467, AE681, CS699, CE493, PHY602, AE699., MBA681, MBA698, "
Day 5 Slot 2,"MTH622, MTH656, CE629, CE799, AE648, MTH752, PHI755, PHY103, ECO599, MSE203, BSE221, EE392, AE753, "
Day 5 Slot 3,"MTH302, CE625, "
Day 5 Slot 4,
Day 5 Slot 5,"MBA649, CSO201, CS771, ME727, CHE659, ESO203, AE747, MSE676, EE619, EE662, CHM402, CE682, EE360, PHY432, PHY621, ME699, ECO499, EEM614, "

Day 6 Slot 1,"PHY690, BSE633, CS680, MTH673, AE799, CHM609, CHM627, ME341, MSE305, CHE702, AE322, "
Day 6 Slot 2,"MTH552, CS220, ME452, MSE638, CHE662, "
Day 6 Slot 3,"CHM102, EE623, "
Day 6 Slot 4,"ENG438, PE102, CE412, MBA647, DES621, AE421, MSE648, CHE391, EE381, MBA661, "
Day 6 Slot 5,"BSE652, CHM801, ME664, CS625, MTH624, MTH679, ME222, EE698C, MS604, MS799, PHY799, "

Day 7 Slot 1,"ME354, MSE312, MTH657, CE422, TA202, EE301, ME626, "
Day 7 Slot 2,"MSE683, "
Day 7 Slot 3,"CSO202, ECO502, MBA634, CS648, MSE204, ME778, IME642, CS203B, DES630, MSE624, PHY568, EE698I, CE661, AE653, MSE422, PHY557, CHE679, CE613, TA101, EE602, MBA621, ESO209, EE661, CHE613, "
Day 7 Slot 4,"CHM700, ME398, EE617, BSE701, CHM649, "
Day 7 Slot 5,

Day 8 Slot 1,"MSE314, CE382, EE340, "
Day 8 Slot 2,"MTH426, ME461, CHM322, EE609, MSE689, CS335, TA201, AE641, ECO413, MTH215, BSE654, EE698E, PHY616, CS647, CE690, CHE331, PHY553, CE676, CE632, MBA663, MBA699, MTH514, "
Day 8 Slot 3,"IME698, ME600, EE631, CHE642, MS602, DES682, MSE799, AE687, CS618, "
Day 8 Slot 4,"MSE631, "
Day 8 Slot 5,

